"Species_Name","light","temp","cont","moist","react","nutr"
"Achillea millefolium ",8,0,0,4,0,5
"Achillea tanacetifolia",0,0,0,0,0,0
"Aconitum lycoctonum",3,4,4,7,7,8
"Aconitum variegatum",5,4,4,7,8,7
"Actaea spicata",3,5,4,5,6,7
"Aegopodium podagraria",5,5,3,6,7,8
"Aethusa cynapium",5,6,4,5,7,7
"Agrostis canina",9,5,5,9,3,2
"Agrostis capillaris",7,0,3,0,4,4
"Agrostis stolonifera",8,0,5,7,0,5
"Ajuga genevensis",8,0,0,3,7,2
"Ajuga reptans",6,0,2,6,6,6
"Alisma plantago-aquatica",7,5,0,10,0,8
"Alliaria petiolata",5,6,3,5,7,9
"Allium senescens ssp. montanum",9,0,5,2,6,2
"Allium species",0,0,0,0,0,0
"Anemone nemorosa",0,0,3,5,0,0
"Angelica sylvestris",7,0,4,8,0,4
"Anthericum ramosum",7,5,4,3,7,3
"Anthriscus sylvestris",7,0,5,5,0,8
"Arrhenatherum elatius",8,5,3,0,7,7
"Artemisia vulgaris",7,6,0,6,0,8
"Asarum europaeum",3,6,5,5,7,6
"Asplenium septentrionale",8,0,4,3,2,2
"Asplenium trichomanes",5,0,3,5,0,3
"Astragalus glycyphyllos",6,6,4,4,7,3
"Athyrium filix-femina",3,0,3,7,0,6
"Aurinia saxatilis ssp. arduini",9,7,4,2,8,1
"Avenella flexuosa",6,0,2,0,2,3
"Betonica officinalis",7,6,5,0,0,3
"Bidens frondosa",7,6,0,8,7,8
"Bidens tripartita",8,6,0,9,0,8
"Brachypodium pinnatum",6,5,5,4,7,4
"Bromus benekenii",5,5,4,5,7,5
"Calamagrostis arundinacea",6,5,4,5,4,5
"Calamagrostis epigejos",7,5,7,0,0,6
"Calluna vulgaris",8,0,3,0,1,1
"Caltha palustris",7,0,0,9,0,6
"Calystegia sepium",8,6,5,6,7,9
"Campanula patula",8,6,4,5,7,5
"Campanula persicifolia",5,5,4,4,8,3
"Campanula rapunculoides",6,6,4,4,7,4
"Campanula rotundifolia",7,5,0,0,0,2
"Campanula trachelium",4,0,3,6,8,8
"Cardamine amara",7,0,4,9,6,4
"Cardamine flexuosa",6,5,2,8,4,5
"Cardamine impatiens",5,0,4,6,7,8
"Cardaminopsis arenosa",9,0,4,4,6,2
"Carduus personata",7,4,2,8,8,8
"Carduus species",0,0,0,0,0,0
"Carex acuta",7,5,7,9,6,4
"Carex brizoides",6,5,4,6,4,3
"Carex buekii",8,6,6,8,8,6
"Carex digitata",3,0,4,5,0,4
"Carex muricata agg.",0,0,0,0,0,0
"Carex species",0,0,0,0,0,0
"Chaerophyllum hirsutum",6,3,4,8,0,7
"Chaerophyllum temulum",5,6,3,5,0,8
"Chelidonium majus",6,6,0,5,0,8
"Circaea alpina",4,4,4,7,5,5
"Cirsium oleraceum",6,0,3,7,7,5
"Clematis vitalba",7,6,3,5,7,7
"Clinopodium vulgare",7,0,3,4,7,3
"Convallaria majalis",5,0,3,4,0,4
"Convolvulus arvensis",7,6,0,4,7,0
"Cuscuta europaea",0,6,5,7,0,7
"Cymbalaria muralis",7,7,4,6,8,5
"Cystopteris fragilis",5,0,3,7,8,4
"Cytisus nigricans",6,6,5,4,6,2
"Dactylis glomerata",7,0,3,5,0,6
"Danthonia decumbens",8,0,2,0,3,2
"Deschampsia cespitosa",6,0,0,7,0,3
"Dianthus carthusianorum ssp. carthusianorum",8,5,4,3,7,2
"Dianthus deltoides",8,5,4,3,3,2
"Digitalis grandiflora",7,4,4,5,5,5
"Doronicum austriacum",5,3,4,6,7,7
"Dryopteris carthusiana",5,0,3,0,4,3
"Dryopteris dilatata",4,0,3,6,0,7
"Dryopteris expansa",4,3,0,6,2,2
"Dryopteris filix-mas",3,0,3,5,5,6
"Elymus caninus",6,6,3,6,7,8
"Epilobium angustifolium",8,0,5,5,5,8
"Epilobium collinum",8,4,5,5,2,2
"Epilobium hirsutum",7,5,5,8,8,8
"Epilobium montanum",4,0,3,5,6,6
"Epilobium roseum",7,6,4,9,8,8
"Epilobium species",0,0,0,0,0,0
"Equisetum arvense",6,0,0,0,0,3
"Equisetum palustre",7,0,5,8,0,3
"Euphorbia cyparissias",8,0,4,3,0,3
